date,from,to,probs
2021-01-05,,2,"[0.25, 0.25, 0.25, 0.25]"
2022-04-25,2.0,1,"[1.014963574322491e-09, 0.9998616371121033, 0.00013836187293280236, 0.0]"
2022-05-02,1.0,2,"[0.01802438627891835, 0.3128157849763614, 0.6691592999404797, 5.28804260407954e-07]"
2022-05-09,2.0,1,"[0.006630801319350093, 0.7462616159287402, 0.24615655011751505, 0.0009510326343960815]"
2022-05-16,1.0,2,"[0.002593836653589584, 0.26859180651358755, 0.7284615224214551, 0.0003528344113487747]"
2022-05-23,2.0,1,"[0.0009542191423397224, 0.7303876788194689, 0.26865652204872886, 1.5799894525283975e-06]"
2022-06-06,1.0,2,"[2.400595348398633e-08, 0.2688345626693753, 0.7311654133246537, 8.156552379802404e-54]"
2022-07-25,2.0,1,"[0.059573318116479694, 0.6186186654842645, 0.320684604073777, 0.0011234123254532996]"
2022-08-01,1.0,2,"[0.09594369037088574, 0.3119912214207546, 0.5913282344333497, 0.0007368537750162882]"
2022-08-22,2.0,0,"[0.8520170798707417, 0.004177421031153227, 0.143785485685872, 2.0013412225598416e-05]"
2022-08-29,0.0,2,"[0.2653607903276576, 7.02926196677529e-08, 0.734638093553607, 1.0458260996144283e-06]"
2022-09-05,2.0,0,"[0.7290913319748699, 0.00200804926131328, 0.2689006187638016, 4.8303441911111626e-52]"
2022-09-12,0.0,1,"[0.29570402027830056, 0.704295979721702, 9.034740687115139e-20, 1.120811088658034e-68]"
2022-10-10,1.0,0,"[0.537456887611898, 0.26894215889048706, 0.19360057735382058, 3.7614377413297534e-07]"
2022-11-14,0.0,1,"[0.2682252718798462, 0.7293017344428396, 0.002472902229648707, 9.144768430235651e-08]"
2022-11-28,1.0,0,"[0.7296674808345273, 0.2688868847919208, 0.0014456045149275987, 2.9858609129559295e-08]"
2022-12-05,0.0,1,"[0.26844407610848436, 0.7307513937089014, 0.0008045191986039753, 1.0983993632414593e-08]"
2022-12-12,1.0,0,"[0.7300895615096773, 0.268919338973544, 0.0006323788305366706, 0.0003587206862192127]"
2022-12-26,0.0,2,"[0.26903485542191613, 1.3543254182768306e-05, 0.7259887826702542, 0.0049628186536442975]"
2023-01-09,2.0,1,"[3.906481167721533e-05, 0.7314657135500194, 0.2684952216358165, 2.4787722278679976e-12]"
2023-02-06,1.0,0,"[0.5735597004797502, 0.26079366005588017, 0.1656452912609737, 1.3482033918006045e-06]"
